Date,Status,Inferred,Adult,College,Youth/TY,Kids,Online,Total,SourceTime,Reporter
2026-01-04,Missing,,0,0,0,0,0,0,,
2026-01-11,OK,,30,28,2,7,0,67,03:57PM,Michelle
2026-01-18,OK,,29,31,1,5,0,66,05:54PM,Michelle
2026-01-25,OK,,0,0,0,0,0,63,04:39PM,elya，8號11班建榮＆3年6班建信
2026-02-01,OK,,0,0,0,0,0,50,05:01PM,elya，8號11班建榮＆3年6班建信
2026-02-08,OK,,20,27,1,5,0,53,04:27PM,Stephen Lee (李威明)
2026-02-15,OK,,26,26,1,5,0,58,06:17PM,Michelle
2026-02-22,OK,,28,29,1,5,0,63,06:31PM,Steven C. | 陳瑞漢
2026-03-01,Missing,,0,0,0,0,0,0,,
